2024-09-14 11:41:40.357 +08:00 [INF] Main (StartedAsync) |         Retrieve System Config.
2024-09-14 11:41:40.357 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:41:40.378 +08:00 [INF] Main (StartedAsync) | Send Email Function: Enabled, Interval Every 10 Secs
2024-09-14 11:41:40.378 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:41:40.378 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:41:40.378 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:41:40.400 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:41:50.412 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:41:50.412 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:41:50.412 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:41:50.429 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:42:00.442 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:42:00.442 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:42:00.442 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:42:00.450 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:42:10.455 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:42:10.455 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:42:10.455 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:42:10.474 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:42:20.481 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:42:20.481 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:42:20.481 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:42:20.498 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:42:30.536 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:42:30.536 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:42:30.536 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:42:30.552 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:42:40.561 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:42:40.561 +08:00 [INF] Main (StartedAsync) |         Retrieve System Config.
2024-09-14 11:42:40.561 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:42:40.569 +08:00 [INF] Main (StartedAsync) | Send Email Function: Enabled, Interval Every 10 Secs
2024-09-14 11:42:40.569 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:42:40.569 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:42:40.569 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
